100004,DEPOSIT,2000.0,2000.0,2025-05-08 14:31:34
100005,DEPOSIT,2000.0,2000.0,2025-05-08 14:37:38
100005,DEPOSIT,5000.0,5000.0,2025-05-08 14:41:26
100006,DEPOSIT,1000.0,1000.0,2025-05-08 14:44:29
100007,DEPOSIT,2000.0,2000.0,2025-05-08 14:52:51
100008,DEPOSIT,1500.0,1500.0,2025-05-08 14:55:53
100009,DEPOSIT,1000.0,1000.0,2025-05-08 19:07:36
100010,DEPOSIT,5000.0,5000.0,2025-05-08 19:14:31
100010,DEPOSIT,500.0,5500.0,2025-05-09 18:20:30
100010,DEPOSIT,500.0,6000.0,2025-05-09 18:20:30
100010,DEPOSIT,4000.0,10000.0,2025-05-09 18:48:29
100010,DEPOSIT,1000.0,11000.0,2025-05-09 18:51:04
100011,DEPOSIT,2500.0,2500.0,2025-05-09 19:21:27
100010,WITHDRAWAL,5000.0,6000.0,2025-05-09 19:48:01
100010,DEPOSIT,500.0,6500.0,2025-05-09 22:23:18
100010,DEPOSIT,500.0,7000.0,2025-05-10 08:56:27
100010,DEPOSIT,1000.0,8000.0,2025-05-10 11:51:34
100010,DEPOSIT,1000.0,9000.0,2025-05-10 12:07:23
100010,WITHDRAWAL,6000.0,3000.0,2025-05-10 12:07:23
100010,DEPOSIT,100.0,3100.0,2025-05-10 12:07:23
100010,WITHDRAWAL,1000.0,2100.0,2025-05-10 12:22:00
